SalesID,Product,Region,Sales,Profit,Year
206,Product E,West Coast,564.0,191.0,2025
207,Product C,North,696.0,139.0,2021
208,Product D,Central,819.0,191.0,2024
209,Product C,East,730.0,186.0,2025
210,Product C,East,748.0,204.0,2024
211,Product A,East,524.0,171.0,2022
212,Product C,West Coast,685.0,146.0,2022
213,Product E,Central,539.0,172.0,2025
214,Product C,North,777.0,161.0,2024
215,Product A,South,545.0,177.0,2021
216,Product E,North,625.0,129.0,2025
217,Product B,South,681.0,138.0,2022
218,Product C,North,756.0,230.0,2022
219,Product A,Central,500.0,174.0,2025
220,Product B,South,657.0,219.0,2024
221,Product B,West Coast,705.0,201.0,2022
222,Product D,North,832.0,280.0,2024
223,Product E,North,613.0,123.0,2022
224,Product C,South,749.0,259.0,2022
225,Product A,West Coast,604.0,165.0,2023
226,Product D,West Coast,822.0,253.0,2022
227,Product E,Central,646.0,208.0,2021
228,Product D,West Coast,834.0,256.0,2025
229,Product E,West Coast,572.0,160.0,2025
230,Product E,West Coast,604.0,163.0,2024
231,Product C,East,763.0,248.0,2022
232,Product E,Central,676.0,155.0,2021
233,Product D,North,862.0,297.0,2024
234,Product E,South,607.0,186.0,2023
235,Product C,North,813.0,186.0,2024
236,Product C,Central,774.0,240.0,2024
237,Product D,South,824.0,230.0,2022
238,Product B,Central,704.0,215.0,2023
239,Product B,West Coast,620.0,195.0,2024
240,Product E,South,574.0,122.0,2021
241,Product A,West Coast,516.0,142.0,2021
242,Product E,North,562.0,190.0,2025
243,Product D,North,863.0,214.0,2023
244,Product D,South,,242.0,2023
245,Product D,South,710.0,181.0,2025
246,Product D,Central,839.0,224.0,2024
247,Product D,Central,829.0,234.0,2023
248,Product C,West Coast,785.0,221.0,2021
249,Product B,South,627.0,,2021
250,Product D,North,951.0,287.0,2022
